"question","answer"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 9 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 10 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 12 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 13 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 14 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 15 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 16 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 17 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 18 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 19 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 20 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 21 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 22 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 23 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 24 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 25 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 26 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 27 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 28 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 29 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 30 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 31 luật giao thông đường bộ"
